Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
FY18-19,19973,North Melbourne,-37.80630984,144.9415102,1497300,4550,4700,3950,3400,3350,100,700,950,2500,450
FY18-19,19979,Jolimont,-37.81652702,144.9840983,1096750,2800,2750,3000,3850,2600,50,250,400,1300,800
FY18-19,22180,Southern Cross,-37.81793643,144.9514112,19551450,68350,70650,59550,25200,19350,650,3450,10750,48000,7800
FY18-19,19918,Hughesdale,-37.89488129,145.0776351,443900,1500,1650,850,750,500,100,800,350,300,100
FY18-19,20028,Showgrounds,-37.7835,144.915,180000,400,200,1300,600,600,50,50,100,100,50
FY18-19,52160,Hawkstowe,-37.622992,145.097396,193600,650,700,550,250,200,150,400,100,50,50
FY18-19,52161,Mernda,-37.602549,145.100883,562350,1900,1950,1550,950,650,550,950,300,200,50
FY19-20,19827,Stony Point,-38.37423454,145.2218375,4350,50,50,50,50,50,50,50,50,50,50
FY19-20,19828,Crib Point,-38.36612338,145.2040433,10800,50,50,50,100,50,50,50,50,50,50
FY19-20,19829,Morradoo,-38.35403334,145.1896025,3400,50,50,50,50,50,50,50,50,50,50
FY19-20,19830,Bittern,-38.33739032,145.1780265,9400,50,50,50,50,50,50,50,50,50,50
FY19-20,19831,Hastings,-38.30565853,145.1859799,14000,50,50,50,50,50,50,50,50,50,50
FY19-20,19832,Tyabb,-38.259815,145.1864007,3700,50,50,50,50,50,50,50,50,50,50
FY19-20,19833,Somerville,-38.22534196,145.1762449,8950,50,50,50,50,50,50,50,50,50,50
FY19-20,19834,Baxter,-38.19404306,145.1605261,2000,50,50,50,50,50,50,50,50,50,50
FY19-20,19835,Glen Iris,-37.85930842,145.0582249,253400,850,900,700,400,250,50,450,150,250,50
FY19-20,19836,Leawarra,-38.152034,145.139534,6750,50,50,50,50,50,50,50,50,50,50
FY19-20,19837,Darling,-37.86895684,145.0629508,267750,900,900,900,450,300,50,550,150,100,50
FY19-20,19838,East Malvern,-37.87693002,145.069393,400500,1350,1200,1800,650,450,100,800,200,150,50
FY19-20,19839,Holmesglen,-37.87440222,145.090662,439050,1450,1450,1450,800,600,100,600,350,350,50
FY19-20,19840,Jordanville,-37.87360339,145.1120902,402000,1350,1350,1350,650,450,150,800,250,150,50
FY19-20,19844,Belgrave,-37.9091021,145.3552913,296550,950,950,900,650,450,150,350,200,200,50
FY19-20,19845,Tecoma,-37.90811849,145.3429946,59400,200,200,150,100,100,50,100,50,50,50
FY19-20,19846,Upwey,-37.90369097,145.3313334,120700,400,450,300,200,150,50,200,100,100,50
FY19-20,19847,Alamein,-37.86832039,145.0796557,113450,400,400,350,150,100,50,250,50,50,50
FY19-20,19848,Ashburton,-37.86196753,145.0813438,239200,850,850,700,300,200,100,550,150,100,50
FY19-20,19849,Burwood,-37.85156328,145.0805111,268750,950,1000,800,350,250,50,600,150,150,50
FY19-20,19850,Hartwell,-37.84398457,145.0755596,165200,600,600,500,200,150,50,350,100,100,50
FY19-20,19851,Willison,-37.83571565,145.0702976,80300,300,300,250,100,50,50,200,50,50,50
FY19-20,19852,Riversdale,-37.83150543,145.069646,161750,600,650,400,100,50,50,350,100,200,50
FY19-20,19853,Camberwell,-37.82656714,145.0586972,1496350,4850,5050,4200,2650,2300,150,1600,1000,1950,350
FY19-20,19855,Frankston,-38.14299007,145.1261623,896100,2750,2850,2550,2200,1350,500,850,750,600,100
FY19-20,19856,Kananook,-38.12174203,145.1352953,186150,650,650,500,300,200,150,300,150,100,50
FY19-20,19857,Seaford,-38.10402104,145.1282304,317100,1050,1100,850,600,400,300,450,200,100,50
FY19-20,19858,Carrum,-38.07489292,145.1224183,41600,150,150,100,100,50,50,50,50,50,50
FY19-20,19859,Bonbeach,-38.06294478,145.1196804,220450,700,750,600,400,300,100,400,150,50,50
FY19-20,19860,Chelsea,-38.05195538,145.1160413,352400,1150,1200,950,700,450,200,550,250,150,50
FY19-20,19861,Edithvale,-38.03805602,145.1085355,196750,650,650,550,400,250,100,350,150,100,50
FY19-20,19862,Aspendale,-38.02722019,145.1021496,156650,500,550,400,300,200,50,300,100,50,50
FY19-20,19863,Mordialloc,-38.00658295,145.0876594,550700,1750,1900,1300,1200,800,200,800,400,400,100
FY19-20,19864,Parkdale,-37.99307882,145.0763268,299300,1000,1100,700,550,350,100,500,200,200,50
FY19-20,19865,Mentone,-37.9818654,145.0651659,528700,1800,2000,1200,800,500,150,800,400,600,50
FY19-20,19866,Cheltenham,-37.96664989,145.0545579,454850,1550,1650,1150,700,450,150,850,250,350,50
FY19-20,19867,Upper Ferntree Gully,-37.8926717,145.3075302,210850,700,700,600,400,300,150,350,100,100,50
FY19-20,19868,Ferntree Gully,-37.88169799,145.2952513,375900,1300,1350,1150,550,350,250,750,200,150,50
FY19-20,19869,Boronia,-37.8604518,145.2843851,539350,1800,1900,1550,850,600,300,1000,350,200,50
FY19-20,19870,Bayswater,-37.84173004,145.2681364,417400,1400,1450,1250,650,400,250,750,250,200,50
FY19-20,19871,Heathmont,-37.82832227,145.2445554,214600,750,800,600,300,200,100,450,100,100,50
FY19-20,19872,Highett,-37.948425,145.0418718,328050,1050,1150,800,650,400,100,550,250,200,50
FY19-20,19873,Glen Waverley,-37.87950407,145.1620575,1305600,4250,4300,4200,2600,1700,400,2100,850,700,200
FY19-20,19874,Syndal,-37.87622963,145.1497805,708350,2450,2450,2400,1050,750,400,1250,350,350,50
FY19-20,19875,Mount Waverley,-37.87525526,145.1280557,662850,2200,2300,2050,1100,800,200,1100,400,450,50
FY19-20,19876,Lilydale,-37.75551777,145.3477102,556700,1800,1850,1550,1150,800,300,750,400,350,50
FY19-20,19877,Mooroolbark,-37.78474883,145.3124024,568300,1950,2000,1600,900,600,400,1050,300,200,50
FY19-20,19878,Croydon,-37.79543697,145.2805978,726050,2450,2550,2100,1200,750,450,1200,450,350,50
FY19-20,19879,Ringwood East,-37.81196804,145.2501909,369900,1300,1400,1050,450,300,200,800,200,200,50
FY19-20,19880,Pakenham,-38.08061397,145.4863791,465800,1500,1650,1050,900,650,350,600,350,250,50
FY19-20,19881,Officer,-38.06614572,145.4109872,132100,500,550,300,100,100,150,250,100,100,50
FY19-20,19882,Beaconsfield,-38.05083135,145.3660737,234200,850,950,450,200,150,250,400,100,150,50
FY19-20,19883,Berwick,-38.04040829,145.3457261,754550,2650,3000,1550,900,600,700,1200,550,500,50
FY19-20,19884,Narre Warren,-38.02780932,145.3039694,587550,2000,2150,1350,950,650,500,900,450,250,50
FY19-20,19885,Hallam,-38.01774038,145.2697768,463500,1600,1750,1100,600,400,400,750,300,250,50
FY19-20,19886,Cranbourne,-38.09953731,145.280599,773050,2600,2900,1650,1200,900,750,1200,600,250,50
FY19-20,19887,Merinda Park,-38.07900048,145.2635114,301600,1050,1200,650,350,250,300,650,200,100,50
FY19-20,19888,Dandenong,-37.98996792,145.2097254,1819050,6050,6350,5050,3150,2300,450,1550,1650,2250,400
FY19-20,19889,Yarraman,-37.97825454,145.1916003,283350,950,1000,700,450,350,150,450,250,150,50
FY19-20,19890,Noble Park,-37.96723193,145.1769357,868350,2850,3100,2100,1550,1100,350,1150,800,650,150
FY19-20,19891,Sandown Park,-37.95650457,145.1628259,443950,1550,1700,1000,600,450,200,1050,300,150,50
FY19-20,19892,East Camberwell,-37.82589419,145.0681902,201450,700,800,400,250,150,50,300,150,300,50
FY19-20,19893,Canterbury,-37.82448518,145.0812242,284700,950,1000,750,450,350,50,500,200,250,50
FY19-20,19894,Chatham,-37.82429952,145.0886479,196950,700,700,550,300,200,50,400,150,100,50
FY19-20,19895,Surrey Hills,-37.82414805,145.0987747,568250,1900,2000,1600,950,650,200,1200,300,300,50
FY19-20,19896,Mont Albert,-37.81942655,145.1055304,200300,650,700,550,350,250,50,400,150,100,50
FY19-20,19897,Laburnum,-37.82078023,145.1407027,340950,1150,1200,850,600,400,100,600,250,250,50
FY19-20,19898,Blackburn,-37.82007075,145.1500135,1185100,3950,4150,3250,2050,1500,300,2100,800,800,150
FY19-20,19899,Nunawading,-37.82060317,145.1748917,888900,2950,3050,2550,1500,1150,250,1550,600,550,100
FY19-20,19900,Mitcham,-37.81800987,145.1919735,945050,3250,3400,2750,1450,900,450,1800,550,500,100
FY19-20,19901,Heatherdale,-37.81889537,145.2127872,471200,1650,1750,1400,600,400,300,1000,250,200,50
FY19-20,19902,Ringwood,-37.81588648,145.2289685,1475200,4650,4750,4200,3300,2350,400,1600,1150,1300,300
FY19-20,19903,Auburn,-37.82239831,145.0458437,584350,1950,2050,1600,1050,750,100,950,400,500,100
FY19-20,19904,Glenferrie,-37.82146682,145.0364388,1949900,6850,7450,4900,2450,1650,150,1300,1900,3450,700
FY19-20,19905,Hawthorn,-37.82182601,145.0228987,553450,1900,2050,1550,750,550,100,800,400,700,50
FY19-20,19906,Burnley,-37.82756022,145.0075551,633700,2150,2200,1950,1200,650,100,850,350,750,150
FY19-20,19907,East Richmond,-37.82639995,144.9970657,506300,1850,1950,1600,450,250,50,300,250,1200,150
FY19-20,19909,Heyington,-37.83467244,145.0226353,163100,600,700,250,150,100,50,200,100,350,50
FY19-20,19910,Kooyong,-37.83992894,145.0335516,263150,900,950,850,350,250,50,300,250,300,50
FY19-20,19911,Tooronga,-37.84936553,145.0417337,456150,1600,1650,1450,600,400,100,650,250,600,50
FY19-20,19912,Gardiner,-37.85327908,145.0516547,389800,1300,1300,1200,750,500,100,700,250,250,50
FY19-20,19913,Springvale,-37.94950878,145.1534518,1295050,4000,4300,3100,3000,2150,350,1300,1250,1150,250
FY19-20,19914,Westall,-37.93849121,145.1388326,676550,1950,2100,1600,2000,1400,200,800,450,500,100
FY19-20,19915,Clayton,-37.92468255,145.1205344,1388700,4450,4850,3250,2800,1950,300,1500,1300,1350,400
FY19-20,19916,Huntingdale,-37.91101734,145.1023643,1151750,4100,4650,2250,1150,850,250,1400,1000,1700,300
FY19-20,19917,Oakleigh,-37.90037214,145.0883079,1215300,3950,4400,2600,2300,1600,300,1350,1050,1400,350
FY19-20,19918,Hughesdale,-37.89488129,145.0776351,501050,1650,1850,1000,850,600,150,850,400,350,100
FY19-20,19919,Murrumbeena,-37.89019832,145.0673749,625600,2100,2350,1250,1000,700,200,1300,500,300,50
FY19-20,19920,Carnegie,-37.88624148,145.0585751,833000,2750,3050,1700,1500,1100,200,1400,700,500,200
FY19-20,19921,Werribee,-37.89937805,144.661118,1061600,3650,3750,3300,1500,1050,750,1700,750,450,50
FY19-20,19922,Hoppers Crossing,-37.88327618,144.7009549,1079900,3750,3950,3200,1400,950,700,1850,750,600,100
FY19-20,19923,Laverton,-37.86369404,144.7726167,944750,3250,3350,2900,1300,950,450,1800,650,400,50
FY19-20,19924,Aircraft,-37.86660595,144.7608094,248950,850,850,750,400,300,150,400,150,100,50
FY19-20,19925,Westona,-37.86516348,144.8134936,212000,750,800,550,300,200,100,300,150,200,50
FY19-20,19926,Altona,-37.8671476,144.8296447,261900,850,850,750,550,400,100,350,200,150,50
FY19-20,19927,Seaholme,-37.86784231,144.8409577,89300,300,300,250,150,150,50,150,50,50,50
FY19-20,19928,Westgarth,-37.7806207,144.9992332,227000,750,750,600,450,300,50,400,150,100,50
FY19-20,19929,Dennis,-37.77918729,145.0082416,305550,1050,1100,850,500,350,50,700,200,150,50
FY19-20,19930,Fairfield,-37.77917126,145.0169053,509000,1650,1700,1450,1000,700,150,900,350,250,100
FY19-20,19931,Alphington,-37.77839363,145.0312549,239400,800,850,650,400,300,50,450,150,150,50
FY19-20,19932,Darebin,-37.77496341,145.038476,118850,400,450,300,200,150,50,200,100,100,50
FY19-20,19933,Ivanhoe,-37.76889674,145.0454252,604100,2050,2150,1650,1050,700,200,1100,350,450,50
FY19-20,19934,Eaglemont,-37.76358553,145.0539427,128000,450,450,350,250,150,50,250,100,50,50
FY19-20,19935,Heidelberg,-37.75707293,145.0606855,647000,2200,2350,1750,950,750,150,700,500,900,100
FY19-20,19936,Rosanna,-37.7428786,145.0661403,552500,1850,1950,1600,900,650,300,1100,300,200,50
FY19-20,19937,Moorabbin,-37.93435329,145.0367383,671250,2050,2250,1450,1600,1250,150,800,550,600,150
FY19-20,19938,Patterson,-37.92514919,145.03547,249700,850,1000,450,350,250,100,500,150,200,50
FY19-20,19939,Bentleigh,-37.91742457,145.0369951,515100,1650,1800,1100,1050,700,150,800,450,350,100
FY19-20,19940,Mckinnon,-37.91030903,145.038299,324500,1100,1200,650,550,400,100,600,250,200,50
FY19-20,19941,Ormond,-37.90321167,145.0396134,528350,1750,1950,1100,950,650,150,900,450,400,50
FY19-20,19942,Glenhuntly,-37.88971946,145.0422229,660200,2150,2350,1400,1300,900,150,1100,550,450,100
FY19-20,19943,Caulfield,-37.87745946,145.0425248,2853200,9050,9100,8850,6450,4250,250,2050,2300,3200,1250
FY19-20,19944,Malvern,-37.8662533,145.0292939,586650,1900,2200,950,1100,750,100,850,450,700,150
FY19-20,19945,Armadale,-37.85645238,145.0193255,414400,1350,1600,650,750,500,50,700,350,450,50
FY19-20,19946,Toorak,-37.85077381,145.0139086,370450,1250,1450,500,650,450,50,650,300,400,50
FY19-20,19947,Hawksburn,-37.84459087,145.0021421,369550,1200,1350,600,750,500,100,650,300,300,50
FY19-20,19948,Sandringham,-37.95033018,145.0045614,813600,2600,2500,2850,1700,1250,250,1300,450,400,100
FY19-20,19949,Hampton,-37.93797681,145.0014706,501150,1650,1650,1650,950,650,150,850,300,250,50
FY19-20,19950,Brighton Beach,-37.92648432,144.9891536,345550,1100,1050,1300,700,550,100,500,200,200,50
FY19-20,19951,Middle Brighton,-37.91513441,144.9962991,567700,1750,1800,1700,1250,950,100,700,400,450,100
FY19-20,19952,North Brighton,-37.90488721,145.002605,554050,1850,1850,1750,1050,700,100,900,400,350,100
FY19-20,19953,Gardenvale,-37.89669508,145.0041684,421550,1400,1400,1450,750,500,100,700,250,300,50
FY19-20,19954,Elsternwick,-37.88475311,145.0008979,797150,2600,2650,2550,1500,1000,150,1300,550,500,150
FY19-20,19955,Ripponlea,-37.87590643,144.9952366,531200,1800,1850,1500,900,600,100,1000,350,300,50
FY19-20,19956,Balaclava,-37.86948773,144.9935121,923000,3050,3150,2700,1650,1200,200,1500,650,650,150
FY19-20,19957,Windsor,-37.85605308,144.9920352,714100,2400,2550,1850,1250,800,100,1050,450,750,200
FY19-20,19958,Prahran,-37.84951848,144.9898599,951300,3200,3350,2600,1600,1050,100,950,650,1400,250
FY19-20,19959,South Yarra,-37.83844935,144.9923422,3151600,10650,11650,7250,5250,3450,350,3350,2600,4450,950
FY19-20,19960,Upfield,-37.66607779,144.9467399,284700,950,1000,850,500,350,100,300,250,300,50
FY19-20,19961,Gowrie,-37.700678,144.9588743,258500,850,850,750,500,350,100,400,200,150,50
FY19-20,19962,Fawkner,-37.71462129,144.960545,165300,550,550,500,300,250,100,250,100,100,50
FY19-20,19963,Merlynston,-37.72093389,144.9613135,296300,1000,1000,900,500,350,150,550,200,100,50
FY19-20,19964,Batman,-37.73352285,144.9628406,257000,850,900,750,450,350,100,450,150,150,50
FY19-20,19965,Coburg,-37.74234502,144.9633363,508700,1650,1700,1550,950,650,150,700,450,300,50
FY19-20,19966,Moreland,-37.75448484,144.961823,272400,900,900,800,500,350,50,400,200,200,50
FY19-20,19967,Anstey,-37.76124203,144.960684,357050,1150,1200,1050,700,500,100,600,250,200,50
FY19-20,19968,Brunswick,-37.76772055,144.9595865,304300,950,1000,850,650,450,50,350,250,300,100
FY19-20,19969,Jewell,-37.77498702,144.9587169,315750,1000,1050,850,600,450,50,350,250,350,100
FY19-20,19970,Royal Park,-37.78119293,144.9523013,269450,850,850,900,550,450,50,150,250,400,50
FY19-20,19971,Flemington Bridge,-37.78813995,144.9393233,225150,750,750,650,450,300,50,250,250,200,50
FY19-20,19972,Macaulay,-37.79426673,144.9361663,249450,850,900,700,400,250,50,150,200,400,50
FY19-20,19974,Clifton Hill,-37.78865745,144.9954167,709000,2250,2350,1950,1600,1100,100,1000,500,500,150
FY19-20,19975,Victoria Park,-37.79915782,144.9944514,612450,2000,2100,1750,1100,850,50,700,400,800,150
FY19-20,19976,Collingwood,-37.80452593,144.9937497,460950,1550,1650,1250,800,550,50,350,300,850,100
FY19-20,19977,North Richmond,-37.81039836,144.9925003,738350,2400,2450,2100,1400,1100,50,500,550,1150,200
FY19-20,19978,West Richmond,-37.81494896,144.9914228,436500,1450,1500,1250,800,550,50,350,350,650,150
FY19-20,19983,Macleod,-37.7260123,145.0691433,469500,1600,1700,1300,750,550,200,850,300,300,50
FY19-20,19984,Watsonia,-37.71095798,145.0837934,577000,1950,2050,1600,1000,650,400,1100,250,200,50
FY19-20,19985,Greensborough,-37.70395408,145.1082474,588050,1900,2000,1650,1200,800,350,950,350,300,50
FY19-20,19986,Montmorency,-37.71529624,145.1215157,254100,850,900,700,400,250,150,550,100,100,50
FY19-20,19987,Eltham,-37.71354967,145.147822,461400,1550,1650,1250,750,550,300,800,250,250,50
FY19-20,19988,Diamond Creek,-37.67329744,145.1585062,151700,500,550,400,300,200,100,300,100,50,50
FY19-20,19989,Wattle Glen,-37.66396792,145.1816145,35850,100,150,100,50,50,50,100,50,50,50
FY19-20,19990,Hurstbridge,-37.63939817,145.1920169,98200,300,350,250,200,150,50,200,50,50,50
FY19-20,19991,Williamstown,-37.86775292,144.9053233,132850,400,450,400,250,250,50,200,100,100,50
FY19-20,19992,Williamstown Beach,-37.86398189,144.8944837,162050,550,550,450,250,200,50,250,150,150,50
FY19-20,19993,North Williamstown,-37.85733348,144.8890695,289450,1000,1050,850,400,250,100,550,200,200,50
FY19-20,19994,Newport,-37.84271757,144.8835999,1037400,3450,3600,3000,1950,1150,300,1900,650,550,150
FY19-20,19995,Spotswood,-37.83063888,144.8859335,273300,900,900,850,500,350,50,400,200,200,50
FY19-20,19996,Yarraville,-37.81585044,144.8899337,785800,2600,2650,2300,1450,1050,200,1400,500,400,150
FY19-20,19997,Seddon,-37.80900514,144.8956716,379400,1300,1350,1150,600,400,100,750,250,150,50
FY19-20,15351,Sunbury,-37.57909097,144.7273188,628800,2050,2100,1750,1350,800,550,750,400,300,100
FY19-20,15353,Diggers Rest,-37.62701651,144.7199224,185050,650,700,550,200,150,150,400,100,50,50
FY19-20,20000,Watergardens,-37.70112872,144.7741805,1300950,4350,4550,3650,2250,1500,800,2200,900,500,100
FY19-20,20001,Keilor Plains,-37.72927934,144.7937381,632200,2100,2200,1800,1050,750,400,1150,400,150,50
FY19-20,20002,St Albans,-37.74486131,144.8000505,963000,3100,3300,2550,1900,1300,300,1300,1000,550,100
FY19-20,20003,Ginifer,-37.75751083,144.8095734,659350,2150,2250,1800,1250,900,250,1000,550,350,50
FY19-20,20004,Albion,-37.77765281,144.8247036,537450,1800,1900,1450,850,600,250,1050,350,200,50
FY19-20,20005,Epping,-37.65238715,145.0301217,690350,2350,2450,1950,1100,750,350,950,550,500,100
FY19-20,20006,Lalor,-37.66585075,145.0171932,477500,1650,1700,1500,700,450,300,850,300,150,50
FY19-20,20007,Thomastown,-37.68033809,145.0142789,600300,2000,2050,1850,1050,700,300,900,500,300,50
FY19-20,20008,Keon Park,-37.69487012,145.0118838,313250,1000,1050,950,600,400,150,350,250,250,50
FY19-20,20009,Ruthven,-37.70789754,145.0095166,334100,1100,1150,1000,550,400,150,650,200,100,50
FY19-20,20010,Reservoir,-37.71688492,145.0069958,517550,1700,1750,1600,900,650,200,650,450,400,50
FY19-20,20011,Regent,-37.72840277,145.0027726,399650,1350,1400,1200,600,400,200,800,250,150,50
FY19-20,20012,Preston,-37.73867424,145.000522,648650,2050,2150,1850,1400,900,150,750,600,550,100
FY19-20,20013,Bell,-37.74556212,145.000155,444100,1400,1450,1200,1000,750,100,600,300,350,100
FY19-20,20014,Thornbury,-37.75505179,144.9985715,544200,1700,1800,1250,1350,900,150,1000,350,250,50
FY19-20,20015,Croxton,-37.764101,144.9970562,281250,900,950,800,550,400,50,550,150,100,50
FY19-20,20016,Northcote,-37.76986537,144.9952772,308200,1000,1050,850,600,400,50,450,200,300,50
FY19-20,20017,Merri,-37.77784668,144.9929725,153450,500,550,400,300,200,50,250,100,150,50
FY19-20,20019,Rushall,-37.78321711,144.9924071,124600,400,450,300,250,200,50,200,100,100,50
FY19-20,20021,Sunshine,-37.78853633,144.8328782,1753250,5700,5850,5300,3300,2400,500,2000,1500,1550,300
FY19-20,20022,Tottenham,-37.7992509,144.8629449,442450,1450,1550,1250,750,550,150,750,350,250,50
FY19-20,20023,West Footscray,-37.8018087,144.8853248,515950,1700,1800,1400,900,600,150,1000,350,250,50
FY19-20,20024,Middle Footscray,-37.8025047,144.8914721,191600,600,650,500,400,250,50,350,150,100,50
FY19-20,20025,Footscray,-37.80108298,144.9031992,4038750,13350,14050,11100,7550,4800,600,4100,3800,4650,900
FY19-20,20026,South Kensington,-37.79953087,144.925469,304750,1050,1050,900,500,350,50,500,250,200,50
FY19-20,20027,Flemington Racecourse,-37.78720192,144.9075887,154650,100,150,50,1700,150,50,50,50,50,50
FY19-20,20028,Showgrounds,-37.7835,144.915,143150,300,100,950,500,650,50,50,50,50,50
FY19-20,20030,Broadmeadows,-37.68304926,144.9196132,810850,2600,2750,2250,1600,1200,200,700,850,850,150
FY19-20,20031,Jacana,-37.69513079,144.9158505,221650,700,700,650,450,400,100,350,200,100,50
FY19-20,20032,Glenroy,-37.70453633,144.9172204,1037400,3350,3450,3050,2000,1500,400,1550,850,550,100
FY19-20,20033,Oak Park,-37.71794973,144.9215188,479050,1600,1650,1400,850,650,200,900,300,200,50
FY19-20,20034,Pascoe Vale,-37.73075596,144.9281956,545050,1800,1850,1600,950,650,200,1050,350,200,50
FY19-20,20035,Strathmore,-37.74359132,144.9273157,318600,1100,1150,900,450,300,100,650,200,150,50
FY19-20,20036,Glenbervie,-37.74720985,144.9209387,301950,1050,1050,900,450,300,100,650,150,100,50
FY19-20,20037,Essendon,-37.7560117,144.9161975,1298700,4300,4500,3700,2350,1550,500,2300,750,850,150
FY19-20,20038,Moonee Ponds,-37.76570666,144.9191607,776300,2550,2650,2250,1500,1000,150,1150,600,600,150
FY19-20,20039,Ascot Vale,-37.77530609,144.9218207,488800,1650,1700,1400,850,600,150,1000,300,200,50
FY19-20,20040,Newmarket,-37.78732767,144.9289785,675600,2200,2300,1900,1300,900,150,1100,500,450,100
FY19-20,20041,Kensington,-37.79378022,144.9305244,424600,1350,1400,1200,900,600,100,650,300,300,50
FY19-20,20042,Box Hill,-37.81922165,145.1214289,2775200,9050,9400,7750,5500,3700,500,2950,2450,2950,550
FY19-20,40220,Roxburgh Park,-37.63823121,144.9354037,488650,1650,1700,1450,800,550,300,750,350,250,50
FY19-20,40221,Craigieburn,-37.6018169,144.9433203,1126250,3700,3850,3150,2050,1450,700,1900,750,400,100
FY19-20,44817,Coolaroo,-37.66100253,144.9260556,274750,950,1000,850,350,250,100,600,150,100,50
FY19-20,45793,Lynbrook,-38.05734118,145.2492751,352250,1250,1400,750,450,300,250,750,250,100,50
FY19-20,45794,Cardinia Road,-38.07129047,145.437791,355850,1250,1350,800,500,350,350,600,250,100,50
FY19-20,45795,South Morang,-37.6491588,145.0670324,554250,1850,1900,1700,950,600,300,850,350,300,100
FY19-20,46468,Williams Landing,-37.86986533,144.7474447,1419700,5100,5250,4450,1600,950,800,3050,900,400,100
FY19-20,52095,Southland,-37.958758,145.049124,441650,1300,1300,1300,1150,900,100,300,400,450,100
FY19-20,52159,Middle Gorge,-37.644062,145.09214,184700,650,700,500,200,150,100,350,100,150,50
FY19-20,52160,Hawkstowe,-37.622992,145.097396,181900,650,650,550,250,150,150,400,100,50,50
